marque,modele,version,prix_initial,prix,date_loc,info
AUDI,,,,34 400 €,"16.12.2021
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                141 750 Km
                            
                                                        
                                2015
                            
                            
                                AUTOMATIQUE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
RENAULT,,,35 900,34 900 €,"12.06.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","HYBRIDE
                            
                                                        
                                6 000 Km
                            
                                                        
                                2022
                            
                            
                                AUTOMATIQUE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
LADA,,,12 990,9 950 €,"13.08.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                13 769 Km
                            
                                                        
                                2019
                            
                            
                                MANUELLE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
SKODA,,,,3 300 €,"26.10.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                182 417 Km
                            
                                                        
                                2006
                            
                            
                                MANUELLE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
MERCEDES,,,,19 500 €,"04.11.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                168 000 Km
                            
                                                        
                                2012
                            
                            
                                AUTOMATIQUE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,5 699,5 000 €,"05.11.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                164 500 Km
                            
                                                        
                                2011
                            
                            
                                MANUELLE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
BMW,,,,10 500 €,"06.11.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                247 785 Km
                            
                                                        
                                2012
                            
                            
                                AUTOMATIQUE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            IMPORTEZ CETTE VOITURE
                                                                                                                


                                                         
                            VENDEZ"
VOLKSWAGEN,,,5 600,5 000 €,"09.11.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                164 500 Km
                            
                                                        
                                2011
                            
                            
                                MANUELLE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
PEUGEOT,,,,2 700 €,"13.11.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","ESSENCE
                            
                                                        
                                177 666 Km
                            
                                                        
                                2000
                            
                            
                                MANUELLE
                            
                            
                                18551
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
FORD,,,10 900,4 900 €,"11.05.2023
                                                                                                   
                                                                
                                                                 ALLEMAGNE
                            
                                                                  
                        

                            Détail","DIESEL
                            
                                                        
                                294 271 Km
                            
                                                        
                                2011
                            
                            
                                MANUELLE
                            
                            
                                18546
                            
                        




                                                
                                                        


                                                         
                            DEVIS ASSURANCE
                                                                                                                


                                                         
                            VENDEZ"
